Petal,Common,Uncommon,Rare,Epic,Legendary,Mythic,Ultra,Super,Unique,Eternal
Missile,2,6,18,54,162,486,1458,4374,13122,39366
Orange,6,18,54,162,486,1458,4374,13122,39366,118098
Antennae,0,0,0,0,0,0,0,0,0,0
Faster,5,15,45,135,405,1215,3645,10935,32805,98415
Web,5,15,45,135,405,1215,3645,10935,32805,98415
Third eye,0,0,0,0,0,0,0,0,0,0
Leaf,19,57,171,513,1539,4617,13851,41553,124659,373977
Peas,5,15,45,135,405,1215,3645,10935,32805,98415
Pollen,5,15,45,135,405,1215,3645,10935,32805,98415
Wax,300,900,2700,8100,24300,72900,218700,656100,1968300,5904900
Honey,50,150,450,1350,4050,12150,36450,109350,328050,984150
Light,5,15,45,135,405,1215,3645,10935,32805,98415
Rose,5,15,45,135,405,1215,3645,10935,32805,98415
Dandelion,8,24,72,216,648,1944,5832,17496,52488,157464
Stinger,1,1,1,1,1,1,1,1,1,1
Soil,10,30,90,270,810,2430,7290,21870,65610,196830
Shovel,0,0,0,0,0,0,0,0,0,0
Rock,30,90,270,810,2430,7290,21870,65610,196830,590490
Heavy,200,600,1800,5400,16200,48600,145800,437400,1312200,3936600
Moon,5000,15000,45000,135000,405000,1215000,3645000,10935000,32805000,98415000
Rice,1,3,9,27,81,243,729,2187,6561,19683
Corn,200,600,1800,5400,16200,48600,145800,437400,1312200,3936600
Glass,0,0,0,0,0,0,0,0,0,0
Clover,10,30,90,270,810,2430,7290,21870,65610,196830
Basil,0,0,0,0,0,0,0,0,0,0
Ant egg,1,1,1,1,1,1,1,1,1,1
Cutter,0,0,0,0,0,0,0,0,0,0
Uranium,75,225,675,2025,6075,18225,54675,164025,492075,1476225
